FBgn0031081,Neprilysin 3,CG9565,Dmel\Nep3,dNEP3
FBgn0263232,Nuclear export factor 3,CG32135,Dmel\Nxf3,
FBgn0263233,roadblock similar 54B,CG34192,Dmel\robls54B,
FBgn0263234,Phaedra 1,CG16996,Dmel\Phae1,SP134
FBgn0263235,Phaedra 2,CG16997,Dmel\Phae2,SP147
FBgn0263236,SP1029,CG11956,Dmel\SP1029,
FBgn0263237,Cyclin-dependent kinase 7,CG3319,Dmel\Cdk7,"Mo15, DmCdk7, DmMO15"
FBgn0263239,dendritic arbor reduction 1,CG12029,Dmel\dar1,
FBgn0263240,Corepressor of Pangolin,CG1621,Dmel\Coop,
FBgn0263241,Molybdenum cofactor synthesis 1,CG33048,Dmel\Mocs1,lxd
FBgn0263246,,CG43389,Dmel\CG43389,
FBgn0263247,,CG43390,Dmel\CG43390,
FBgn0263248,,CG43391,Dmel\CG43391,
FBgn0263249,,CG43392,Dmel\CG43392,
FBgn0263250,,CG43393,Dmel\CG43393,
FBgn0263251,variable nurse cells,CG11989,Dmel\vnc,"Ard1, l(3)67BDk, Arrest defective 1, Naa10"
FBgn0263256,,CG43394,Dmel\CG43394,
FBgn0263257,Cyclic nucleotide-gated ion channel-like,CG43395,Dmel\Cngl,CNG channel-like
FBgn0263258,chascon,CG32556,Dmel\chas,EP-631
FBgn0263260,seele,CG12918,Dmel\sel,
FBgn0263270,,CG43396,Dmel\CG43396,
FBgn0263271,,CG43397,Dmel\CG43397,
FBgn0263278,Fic domain-containing protein,CG9523,Dmel\Fic,
FBgn0263289,scribble,CG43398,Dmel\scrib,"scribbled, smi97B, ird15, scrb, vart"
FBgn0263290,long non-coding RNA:CR43399,CR43399,Dmel\lncRNA:CR43399,
FBgn0263314,,CG43400,Dmel\CG43400,lincRNA.75
FBgn0263316,Multidrug resistance protein 4,CG14709,Dmel\Mrp4,"BEST:CK01227 , dMRP4, EP3221"
FBgn0263320,,CG43401,Dmel\CG43401,
FBgn0263321,,CG43402,Dmel\CG43402,
FBgn0263322,,CG43403,Dmel\CG43403,
FBgn0263323,long non-coding RNA:CR43404,CR43404,Dmel\lncRNA:CR43404,lincRNA.89
FBgn0263324,,CG43405,Dmel\CG43405,
FBgn0263325,long non-coding RNA:CR43406,CR43406,Dmel\lncRNA:CR43406,
FBgn0263326,,CG43407,Dmel\CG43407,
FBgn0263327,long non-coding RNA:CR43408,CR43408,Dmel\lncRNA:CR43408,
FBgn0263328,long non-coding RNA:CR43409,CR43409,Dmel\lncRNA:CR43409,
FBgn0263329,long non-coding RNA:CR43410,CR43410,Dmel\lncRNA:CR43410,
FBgn0263330,long non-coding RNA:CR43411,CR43411,Dmel\lncRNA:CR43411,
FBgn0263331,long non-coding RNA:CR43412,CR43412,Dmel\lncRNA:CR43412,
FBgn0263332,antisense RNA:CR43413,CR43413,Dmel\asRNA:CR43413,
FBgn0263333,long non-coding RNA:CR43414,CR43414,Dmel\lncRNA:CR43414,lincRNA.205
FBgn0263334,long non-coding RNA:CR43415,CR43415,Dmel\lncRNA:CR43415,lincRNA.319
FBgn0263335,long non-coding RNA:CR43416,CR43416,Dmel\lncRNA:CR43416,
FBgn0263336,long non-coding RNA:CR43417,CR43417,Dmel\lncRNA:CR43417,
FBgn0263337,long non-coding RNA:CR43418,CR43418,Dmel\lncRNA:CR43418,
FBgn0263338,long non-coding RNA:CR43419,CR43419,Dmel\lncRNA:CR43419,
FBgn0263339,long non-coding RNA:CR43420,CR43420,Dmel\lncRNA:CR43420,
FBgn0263340,long non-coding RNA:CR43421,CR43421,Dmel\lncRNA:CR43421,
FBgn0263341,long non-coding RNA:CR43422,CR43422,Dmel\lncRNA:CR43422,
FBgn0263342,long non-coding RNA:CR43423,CR43423,Dmel\lncRNA:CR43423,
FBgn0263343,long non-coding RNA:CR43424,CR43424,Dmel\lncRNA:CR43424,
FBgn0263344,antisense RNA:CR43425,CR43425,Dmel\asRNA:CR43425,
FBgn0263345,antisense RNA:CR43426,CR43426,Dmel\asRNA:CR43426,
FBgn0263346,smallish,CG43427,Dmel\smash,
FBgn0263351,"Adaptor Protein complex 2, μ subunit",CG7057,Dmel\AP-2μ,"AP-50, AP50, μ2, MENE(3R)-D, apm4"
FBgn0263352,Upstream of N-ras,CG7015,Dmel\Unr,"dUNR, MRE30"
FBgn0034717,,CG5819,Dmel\CG5819,
FBgn0013272,Gp150,CG5820,Dmel\Gp150,
FBgn0016053,polar granule component,CG32885,Dmel\pgc,"pgc-1, PGC1"
FBgn0034721,,CG11298,Dmel\CG11298,
FBgn0034722,Rtf1,CG10955,Dmel\Rtf1,dRtf1
FBgn0025878,wrapper,CG10382,Dmel\wrapper,
FBgn0034723,,CG13506,Dmel\CG13506,
FBgn0034725,,CG6044,Dmel\CG6044,
FBgn0053200,Ventrally-expressed protein D,CG33200,Dmel\VepD,
FBgn0034726,DNA polymerase epsilon subunit 4,CG11301,Dmel\PolE4,"Mes4, NF-Yc"
FBgn0022985,quaking related 58E-2,CG5821,Dmel\qkr58E-2,
FBgn0034728,rad50,CG6339,Dmel\rad50,
FBgn0034730,pickpocket 12,CG10972,Dmel\ppk12,
FBgn0034731,,CG10384,Dmel\CG10384,
FBgn0034733,,CG4752,Dmel\CG4752,
FBgn0034734,,CG4554,Dmel\CG4554,
FBgn0034735,,CG4610,Dmel\CG4610,
FBgn0034736,gasoline,CG6018,Dmel\gas,
FBgn0034737,,CG11362,Dmel\CG11362,
FBgn0003175,plexus,CG4444,Dmel\px,l(2)k08316
FBgn0034729,,CG10344,Dmel\CG10344,
FBgn0034727,mitochondrial ribosomal protein S29,CG3633,Dmel\mRpS29,
FBgn0022986,quaking related 58E-1,CG3613,Dmel\qkr58E-1,KH-domain
FBgn0022984,quaking related 58E-3,CG3584,Dmel\qkr58E-3,"kep1, KH domain encompassing protein 1"
FBgn0034724,babos,CG3624,Dmel\babos,
FBgn0034720,Liprin-γ,CG11206,Dmel\Liprin-γ,
FBgn0017482,Type III alcohol dehydrogenase,CG3425,Dmel\T3dh,
FBgn0034718,windpipe,CG3413,Dmel\wdp,
FBgn0034739,,CG3927,Dmel\CG3927,
FBgn0034741,,CG4269,Dmel\CG4269,
FBgn0034743,Ribosomal protein S16,CG4046,Dmel\RpS16,
FBgn0034744,Vacuolar protein sorting 20,CG4071,Dmel\Vps20,
FBgn0053143,,CG33143,Dmel\CG33143,
FBgn0026261,bonsai,CG4207,Dmel\bonsai,mRpS15
FBgn0034740,novel spermatogenesis regulator,CG3875,Dmel\nsr,
FBgn0034758,,CG13510,Dmel\CG13510,
FBgn0034759,,CG13511,Dmel\CG13511,
FBgn0034761,,CG4250,Dmel\CG4250,
FBgn0050273,,CG30273,Dmel\CG30273,
FBgn0050269,,CG30269,Dmel\CG30269,
FBgn0034763,Ring and YY1 Binding Protein,CG12190,Dmel\RYBP,dRYBP
FBgn0034766,Odorant-binding protein 59a,CG13517,Dmel\Obp59a,Obp58a
FBgn0034768,Odorant-binding protein 58b,CG13518,Dmel\Obp58b,
FBgn0034770,Odorant-binding protein 58d,CG13519,Dmel\Obp58d,
FBgn0050275,,CG30275,Dmel\CG30275,
FBgn0050268,,CG30268,Dmel\CG30268,
FBgn0034774,,CG13526,Dmel\CG13526,
FBgn0050267,antisense RNA:CR30267,CR30267,Dmel\asRNA:CR30267,
FBgn0034776,,CG13527,Dmel\CG13527,SPH182
FBgn0011211,bellwether,CG3612,Dmel\blw,"ATP5A, ATPsyn-α, ATPsynα, C-V-α, A2(2nd)27"
FBgn0050271,,CG30271,Dmel\CG30271,
FBgn0050274,,CG30274,Dmel\CG30274,
FBgn0050272,Major Facilitator Superfamily Transporter 1,CG30272,Dmel\MFS1,
FBgn0050265,,CG30265,Dmel\CG30265,
FBgn0034782,,CG12490,Dmel\CG12490,
FBgn0034783,,CG9825,Dmel\CG9825,
FBgn0034784,,CG9826,Dmel\CG9826,
FBgn0034785,,CG3649,Dmel\CG3649,
FBgn0010078,Ribosomal protein L23,CG3661,Dmel\RpL23,RpL17A
FBgn0004896,forkhead domain 59A,CG3668,Dmel\fd59A,FD3
FBgn0034788,,CG13532,Dmel\CG13532,
FBgn0034789,Phosphatidylinositol 4-phosphate 5-kinase 59B,CG3682,Dmel\PIP5K59B,"dPIP5K, PIP5K 59B, PI4P5K"
FBgn0034793,asrij,CG13533,Dmel\asrij,arj
FBgn0034795,Mediator complex subunit 23,CG3695,Dmel\MED23,Trap150β
FBgn0034796,,CG3700,Dmel\CG3700,
FBgn0034792,YME1 like ATPase,CG3499,Dmel\YME1L,
FBgn0034791,ER membrane protein complex subunit 8/9,CG3501,Dmel\EMC8-9,
FBgn0001263,inactivation no afterpotential D,CG3504,Dmel\inaD,
FBgn0034786,,CG13531,Dmel\CG13531,
FBgn0000405,Cyclin B,CG3510,Dmel\CycB,"Cyclin B1, Cyc B"
FBgn0028371,jitterbug,CG30092,Dmel\jbug,Filamin
FBgn0034769,Odorant-binding protein 58c,CG13524,Dmel\Obp58c,
FBgn0050259,,CG30259,Dmel\CG30259,
FBgn0005631,roundabout 1,CG13521,Dmel\robo1,"robo, roundabout, dRobo, Robo-1, dRobo1"
FBgn0020257,Partner of paired,CG9952,Dmel\Ppa,
FBgn0050196,,CG30196,Dmel\CG30196,
FBgn0034756,Cyp6d2,CG4373,Dmel\Cyp6d2,
FBgn0034755,,CG3746,Dmel\CG3746,
FBgn0050195,,CG30195,Dmel\CG30195,
FBgn0034753,,CG2852,Dmel\CG2852,
FBgn0040091,UDP-glycosyltransferase family 317 member A1,CG4414,Dmel\Ugt317A1,Ugt58Fa
FBgn0034750,,CG3732,Dmel\CG3732,
FBgn0019949,Cyclin-dependent kinase 9,CG5179,Dmel\Cdk9,"P-TEFb, Positive transcription elongation factor b"
FBgn0034748,,CG17807,Dmel\CG17807,
FBgn0034745,,CG4329,Dmel\CG4329,
FBgn0034742,,CG4294,Dmel\CG4294,
FBgn0034797,nahoda,CG12781,Dmel\nahoda,CT36793
FBgn0034803,,CG9849,Dmel\CG9849,
FBgn0021979,lethal (2) k09913,CG3082,Dmel\l(2)k09913,
FBgn0050202,transfer RNA:Serine-TGA 2-1,CR30202,Dmel\tRNA:Ser-TGA-2-1,
FBgn0034816,,CG3085,Dmel\CG3085,
FBgn0045483,Gustatory receptor 59a,CG30189,Dmel\Gr59a,
FBgn0045482,Gustatory receptor 59b,CG30191,Dmel\Gr59b,"Gr59D3, Gr59C1"
FBgn0050192,,CG30192,Dmel\CG30192,
FBgn0034827,Kinesin-like protein at 59D,CG12192,Dmel\Klp59D,DmKlp59D
FBgn0034829,,CG9899,Dmel\CG9899,
FBgn0034828,,CG13545,Dmel\CG13545,
FBgn0034826,,CG13544,Dmel\CG13544,
FBgn0034825,Glycerol-3-phosphate dehydrogenase 2,CG3215,Dmel\Gpdh2,
FBgn0034824,Kinesin-like protein at 59C,CG3219,Dmel\Klp59C,DmKlp59C
FBgn0041236,Gustatory receptor 59d,CG30330,Dmel\Gr59d,
FBgn0041235,Gustatory receptor 59c,CG30186,Dmel\Gr59c,Gr59D2
FBgn0034822,Ribosomal protein L37b,CG9873,Dmel\RpL37b,
FBgn0034821,,CG9876,Dmel\CG9876,
FBgn0034819,,CG9877,Dmel\CG9877,
FBgn0034817,Arginine methyltransferase 7,CG9882,Dmel\Art7,DART7
FBgn0003062,Fibrillarin,CG9888,Dmel\Fib,
FBgn0050201,transfer RNA:Serine-TGA 1-1,CR30201,Dmel\tRNA:Ser-TGA-1-1,
FBgn0034814,,CG9890,Dmel\CG9890,
FBgn0010622,"Dynactin 3, p24 subunit",CG9893,Dmel\DCTN3-p24,"l(2)06496, DCTN3"
FBgn0034808,,CG9896,Dmel\CG9896,
FBgn0034807,,CG9897,Dmel\CG9897,SPH195
FBgn0052833,,CG32833,Dmel\CG32833,
FBgn0052834,,CG32834,Dmel\CG32834,
FBgn0052835,long non-coding RNA:CR32835,CR32835,Dmel\lncRNA:CR32835,
FBgn0034804,,CG3831,Dmel\CG3831,
FBgn0034802,CCHC-type zinc finger nucleic acid binding protein,CG3800,Dmel\CNBP,
FBgn0034800,,CG3788,Dmel\CG3788,
FBgn0010660,Nucleoporin 214kD,CG3820,Dmel\Nup214,"l(2)10444, DNup214, CAN"
FBgn0050187,,CG30187,Dmel\CG30187,
FBgn0034833,,CG13539,Dmel\CG13539,
FBgn0034835,,CG3092,Dmel\CG3092,
FBgn0034839,,CG13540,Dmel\CG13540,
FBgn0034841,,CG13541,Dmel\CG13541,
FBgn0034844,,CG9861,Dmel\CG9861,
FBgn0034846,,CG9863,Dmel\CG9863,
FBgn0050409,,CR30409,Dmel\CR30409,
FBgn0050410,Ribose-5-phosphate isomerase,CG30410,Dmel\Rpi,
FBgn0034850,,CG9875,Dmel\CG9875,
FBgn0034853,Interacts with the C terminus of ELL 1,CG13550,Dmel\Ice1,
FBgn0041712,yellow-d,CG9889,Dmel\yellow-d,
FBgn0034856,yellow-d2,CG9891,Dmel\yellow-d2,
FBgn0034858,eukaryotic translation initiation factor 2B subunit delta,CG10315,Dmel\eIF2Bδ,"eIF2B-delta, eIF2B-δ"
FBgn0050411,,CG30411,Dmel\CG30411,
FBgn0034867,,CG13557,Dmel\CG13557,
FBgn0034866,Odorant receptor 59c,CG17226,Dmel\Or59c,
FBgn0034865,Odorant receptor 59b,CG3569,Dmel\Or59b,
FBgn0034863,SKP1-related F,CG12227,Dmel\SkpF,
FBgn0026384,Odorant receptor 59a,CG9820,Dmel\Or59a,"AN6, 59a"
FBgn0034861,,CG9815,Dmel\CG9815,
FBgn0034860,,CG9812,Dmel\CG9812,
FBgn0034859,,CG3520,Dmel\CG3520,
FBgn0028497,Myotubularin related protein 6,CG3530,Dmel\Mtmr6,BcDNA:GH04637
FBgn0050414,,CG30414,Dmel\CG30414,SP62
FBgn0040660,,CG13551,Dmel\CG13551,ATPIF1
FBgn0034854,Golgin-245,CG3493,Dmel\Golgin245,"dGolgin-245, dGolgin245"
FBgn0003977,virilizer,CG3496,Dmel\vir,
FBgn0034849,,CG3500,Dmel\CG3500,
FBgn0046253,,CG3502,Dmel\CG3502,
FBgn0050413,,CG30413,Dmel\CG30413,
FBgn0050417,testis-specifically expressed bromodomain containing protein-3,CG30417,Dmel\tbrd-3,
FBgn0050416,,CG30416,Dmel\CG30416,
FBgn0050412,,CG30412,Dmel\CG30412,
FBgn0034842,Proteasome β5 subunit-related 1,CG9868,Dmel\Prosβ5R1,Prosβ5R
FBgn0034840,,CG3124,Dmel\CG3124,
FBgn0003009,orientation disruptor,CG3134,Dmel\ord,orientation disrupter
FBgn0034838,,CG12782,Dmel\CG12782,
FBgn0034837,Ribosomal protein L22-like,CG9871,Dmel\RpL22-like,eRpL22-like
FBgn0040063,yippee interacting protein 3,CG13549,Dmel\yip3,
FBgn0034834,Large Subunit 2,CG3162,Dmel\LS2,
FBgn0034869,,CG13558,Dmel\CG13558,
FBgn0034870,,CG13559,Dmel\CG13559,
FBgn0041234,Gustatory receptor 59f,CG33150,Dmel\Gr59f,Gr59E1
FBgn0050185,aaRS-interacting multifunctional protein 3,CG30185,Dmel\AIMP3,
FBgn0034877,levy,CG17280,Dmel\levy,"Cytochrome c oxidase Polypeptide VIA, COX6A"
FBgn0010501,Death caspase-1,CG5370,Dmel\Dcp-1,"Dcp1, caspase-1, caspase"
FBgn0034880,Integrin alphaPS5 subunit,CG5372,Dmel\ItgaPS5,"αPS5, alphaPS5, α-PS5, ItgαPS5"
FBgn0015277,Phosphatidylinositol 3-kinase 59F,CG5373,Dmel\Pi3K59F,"Vps34, PI3K, dPI3K, PI3K_59F, DmVps34"
FBgn0050184,,CG30184,Dmel\CG30184,
FBgn0015903,apontic,CG5393,Dmel\apt,"tdf, tracheae defective, l(2)06369, l(2)59Ea, l(2)09049"
FBgn0034882,Entomoglyceroporin 1,CG5398,Dmel\Eglp1,
FBgn0004795,retained,CG5403,Dmel\retn,"dri, dead ringer, l(2)02535, Dead Ringer/Retain"
FBgn0034887,Sulfotransferase 1,CG5428,Dmel\St1,
FBgn0016762,angel,CG12273,Dmel\angel,
FBgn0034893,mitochondrial ribosomal protein L43,CG5479,Dmel\mRpL43,
FBgn0013548,lethal-(2)-denticleless,CG11295,Dmel\l(2)dtl,
FBgn0034897,Sestrin,CG11299,Dmel\Sesn,dSesn
FBgn0034899,,CG13560,Dmel\CG13560,
FBgn0034900,,CG12491,Dmel\CG12491,
FBgn0034901,,CG11300,Dmel\CG11300,
FBgn0034902,,CG5532,Dmel\CG5532,
FBgn0000562,egalitarian,CG4051,Dmel\egl,
FBgn0034898,,CG18128,Dmel\CG18128,
FBgn0011297,"ALG3, alpha-1,3- mannosyltransferase",CG4084,Dmel\Alg3,"l(2)not, l(2)tid, lethal(2)tumorous imaginal discs, tid, lethal(2) tumorous imaginal discs"
FBgn0034894,salivary glands marred,CG4091,Dmel\sigmar,
FBgn0050183,,CG30183,Dmel\CG30183,
FBgn0011296,lethal (2) essential for life,CG4533,Dmel\l(2)efl,CryAB
FBgn0034885,Entomoglyceroporin 4,CG4019,Dmel\Eglp4,
FBgn0034884,Entomoglyceroporin 3,CG17662,Dmel\Eglp3,
FBgn0034883,Entomoglyceroporin 2,CG17664,Dmel\Eglp2,
FBgn0034879,Rrp4,CG3931,Dmel\Rrp4,dRrp4
FBgn0034878,pita,CG3941,Dmel\pita,spdk
FBgn0034876,wing morphogenesis defect,CG3957,Dmel\wmd,
FBgn0041233,Gustatory receptor 59e,CG33151,Dmel\Gr59e,Gr59E2
FBgn0050181,pickpocket 3,CG30181,Dmel\ppk3,
FBgn0015372,RabX1,CG3870,Dmel\RabX1,"chrw, chrowded, DmRabX1"
FBgn0034871,,CG3906,Dmel\CG3906,
FBgn0050177,,CG30177,Dmel\CG30177,
FBgn0034907,,CG5539,Dmel\CG5539,
FBgn0034908,,CG5543,Dmel\CG5543,
FBgn0034911,Glycine transporter,CG5549,Dmel\GlyT,
FBgn0034914,,CG5554,Dmel\CG5554,
FBgn0024234,glass bottom boat,CG5562,Dmel\gbb,"60A, gbb-60A, BMP, Tgfbeta-60A, tgfb-60A"
FBgn0034919,,CG5569,Dmel\CG5569,
FBgn0011236,ken and barbie,CG5575,Dmel\ken,"Ken & Barbie, okina, ok"
FBgn0034920,,CG5597,Dmel\CG5597,
FBgn0034924,,CG17658,Dmel\CG17658,
FBgn0034928,,CG13562,Dmel\CG13562,
FBgn0034931,,CG2812,Dmel\CG2812,
FBgn0023477,Transaldolase,CG2827,Dmel\Taldo,Tal
FBgn0001123,G protein α s subunit,CG2835,Dmel\Gαs,"Gαs, Gs, dgs, Gsα, G-sα60A"
FBgn0034936,Stomatin like 2,CG2970,Dmel\Stoml2,
FBgn0034937,fizzy-related 2,CG16783,Dmel\fzr2,
FBgn0034939,thoc5,CG2980,Dmel\thoc5,
FBgn0034943,Flavin-containing monooxygenase 1,CG3006,Dmel\Fmo-1,
FBgn0020764,Aminolevulinate synthase,CG3017,Dmel\Alas,
FBgn0003008,orange,CG3029,Dmel\or,"AP-3σ, σ3, aps3"
FBgn0034946,,CG3065,Dmel\CG3065,
FBgn0002791,morula,CG3060,Dmel\mr,"APC2, dAPC2, APC2/mr"
FBgn0005612,Sox box protein 14,CG3090,Dmel\Sox14,DSox14
FBgn0050178,,CG30178,Dmel\CG30178,
FBgn0034950,PAS kinase,CG3105,Dmel\Pask,
FBgn0034957,Radial spoke head protein 4a,CG3121,Dmel\Rsph4a,
FBgn0034959,Xyloside xylosyltransferase,CG11388,Dmel\Xxylt,
FBgn0011695,Ejaculatory bulb protein III,CG11390,Dmel\EbpIII,"PebIII, PEBmeIII, Phk-2"
FBgn0034961,,CG3163,Dmel\CG3163,
FBgn0034962,MAN1,CG3167,Dmel\MAN1,dMAN1
FBgn0034964,Integrator 1,CG3173,Dmel\IntS1,
FBgn0003353,seizure,CG3182,Dmel\sei,"erg, Derg"
FBgn0034966,,CG13563,Dmel\CG13563,
FBgn0034968,Ribosomal protein L12,CG3195,Dmel\RpL12,L12
FBgn0034971,Glycerol-3-phosphate acyltransferase 4,CG3209,Dmel\Gpat4,
FBgn0034970,yorkie,CG4005,Dmel\yki,"YAP, Yorki"
FBgn0023170,Ribosomal protein L39,CG3997,Dmel\RpL39,"RpL46, Rp46, L39"
FBgn0034965,pickpocket 29,CG13568,Dmel\ppk29,nope
FBgn0028552,γ Soluble NSF attachment protein 1,CG3988,Dmel\γSnap1,"gammaSnap, γ-Snap, γSnap"
FBgn0011726,twinstar,CG4254,Dmel\tsr,"cofilin, ntf, l(2)k05633, ADF, D-cof"
FBgn0034963,CCR4-NOT transcription complex subunit 11,CG13567,Dmel\Not11,
FBgn0013764,Chip,CG3924,Dmel\Chi,"Ldb, dLdb"
FBgn0050172,,CG30172,Dmel\CG30172,
FBgn0061198,Haematopoietic stem/progenitor cell protein 300,CG30173,Dmel\HSPC300,dHSPC300
FBgn0034958,,CG3907,Dmel\CG3907,
FBgn0034956,,CG4324,Dmel\CG4324,
FBgn0034951,,CG3860,Dmel\CG3860,
FBgn0034948,Protein phosphatase 1 regulatory subunit 15,CG3825,Dmel\PPP1R15,"Gadd34, dPPP1R15"
FBgn0034945,,CG10904,Dmel\CG10904,
FBgn0034942,,CG13566,Dmel\CG13566,
FBgn0034940,,CG16787,Dmel\CG16787,
FBgn0034938,,CG3803,Dmel\CG3803,
FBgn0034935,Orcokinin,CG13565,Dmel\Orcokinin,
FBgn0034933,,CG3735,Dmel\CG3735,
FBgn0015268,Nucleosome assembly protein 1,CG5330,Dmel\Nap1,"NAP-1, dNAP-1, dNAP1"
FBgn0034925,,CG5339,Dmel\CG5339,
FBgn0034923,Upf3,CG11184,Dmel\Upf3,
FBgn0034921,Decapping protein 1,CG11183,Dmel\DCP1,"dDcp1, Dcp-1"
FBgn0025334,Putative homeodomain protein,CG11182,Dmel\PHDP,
FBgn0025336,,CG4882,Dmel\CG4882,
FBgn0025352,Mitochondrial trifunctional protein β subunit,CG4581,Dmel\Mtpβ,"Thiolase, dHADHB"
FBgn0025335,Ceramide phosphoethanolamine synthase,CG4585,Dmel\Cpes,
FBgn0004581,benign gonial cell neoplasm,CG30170,Dmel\bgcn,"b(2)gcn, pep, PNBP"
FBgn0034918,Partner of Y14 and Mago,CG30176,Dmel\Pym,wibg
FBgn0021895,yantar,CG18426,Dmel\ytr,"bgcn, l(2)k13108"
FBgn0034915,eukaryotic translation initiation factor 6,CG17611,Dmel\eIF6,l(2)k13214
FBgn0034913,Synaptosomal-associated protein 29kDa,CG11173,Dmel\Snap29,"usnp, ubisnap, SNAP-29"
FBgn0003401,shutdown,CG4735,Dmel\shu,
FBgn0034910,,CG4763,Dmel\CG4763,
FBgn0034909,,CG4797,Dmel\CG4797,
FBgn0028411,NTF2-related export protein 1,CG12752,Dmel\Nxt1,p15
FBgn0010278,Structure specific recognition protein,CG4817,Dmel\Ssrp,"SSRP1, dSSRP1"
FBgn0034904,,CG15800,Dmel\CG15800,
FBgn0034973,,CG13564,Dmel\CG13564,
FBgn0034974,,CG16786,Dmel\CG16786,
FBgn0034975,enoki mushroom,CG11290,Dmel\enok,rotkehlchen
FBgn0041706,,CG3253,Dmel\CG3253,
FBgn0021875,Zinc finger protein RP-8,CG3260,Dmel\Zfrp8,l(2)k13705
FBgn0015544,spaghetti,CG13570,Dmel\spag,
FBgn0034985,,CG3328,Dmel\CG3328,
FBgn0026169,,CR32884,Dmel\snoRNA:Ψ18S-1820,"snoH1,  snoRNA:H1 , snoRNA H1"
FBgn0034988,cytosolic 5'-nucleotidase IIIB,CG3362,Dmel\cN-IIIB,"cNIII-like, cytosolic nucleotidase III-like"
FBgn0034989,,CG3356,Dmel\CG3356,
FBgn0050418,nord,CG30418,Dmel\nord,
FBgn0034996,,CG13575,Dmel\CG13575,
FBgn0005636,nervy,CG3385,Dmel\nvy,
FBgn0034999,Fatty acid transport protein 3,CG3394,Dmel\Fatp3,
FBgn0003888,β-Tubulin at 60D,CG3401,Dmel\βTub60D,"β3-tubulin, β-tubulin, β3 tubulin, β3, tubulin"
FBgn0004101,blistered,CG3411,Dmel\bs,"DSRF, SRF, pruned, D-SRF, Drosophila Serum Response Factor"
FBgn0005638,slow border cells,CG4354,Dmel\slbo,"C/EBP, DmC/EBP, slobo"
FBgn0034998,,CG13577,Dmel\CG13577,
FBgn0034994,Ionotropic receptor 60a,CG13576,Dmel\Ir60a,
FBgn0050419,,CG30419,Dmel\CG30419,
FBgn0034986,mitochondrial ribosomal protein S17,CG4326,Dmel\mRpS17,
FBgn0041582,tamo,CG4057,Dmel\tamo,60B
FBgn0023081,genghis khan,CG4012,Dmel\gek,"l(2)09373, dMRCK, Genghis Kahn"
FBgn0034972,,CG10339,Dmel\CG10339,
FBgn0002787,Regulatory particle non-ATPase 8,CG3416,Dmel\Rpn8,"Mov34, p39B, l(2)k08003"
FBgn0035005,,CG3483,Dmel\CG3483,
FBgn0035007,,CG3492,Dmel\CG3492,
FBgn0035008,,CG3494,Dmel\CG3494,
FBgn0035009,,CG16837,Dmel\CG16837,
FBgn0035010,,CG13579,Dmel\CG13579,
FBgn0029501,Caldesmon-related protein,CG13580,Dmel\Crtp,
FBgn0035014,,CG13581,Dmel\CG13581,
FBgn0050169,"BRCA2, DNA repair associated",CG30169,Dmel\Brca2,"dmbrca2, Breast cancer 2, early onset homolog"
FBgn0035020,,CG13585,Dmel\CG13585,
FBgn0035022,,CG11413,Dmel\CG11413,
FBgn0035023,Ion transport peptide,CG13586,Dmel\ITP,"DrmITP, DrmITPL2, DrmITPL1"
FBgn0035024,,CG11414,Dmel\CG11414,
FBgn0035025,unconventional prefoldin RPB5 interactor,CG11416,Dmel\uri,ori
FBgn0035027,,CG3511,Dmel\CG3511,
FBgn0020521,piopio,CG3541,Dmel\pio,
FBgn0035031,,CG13587,Dmel\CG13587,
FBgn0035033,,CG3548,Dmel\CG3548,
FBgn0035034,,CG3565,Dmel\CG3565,
FBgn0035035,S-adenosylmethionine sensor upstream of TORC1,CG3570,Dmel\Samtor,
FBgn0035039,aarF domain containing kinase 1,CG3608,Dmel\Adck1,Adck
FBgn0015040,Cytochrome P450-9c1,CG3616,Dmel\Cyp9c1,P450
FBgn0035042,,CG3640,Dmel\CG3640,
FBgn0035044,,CG3663,Dmel\CG3663,
FBgn0035046,NADH dehydrogenase (ubiquinone) 19 kDa subunit,CG3683,Dmel\ND-19,"NDUFA8, dNDUFA8"
FBgn0035047,Painting of fourth,CG3691,Dmel\Pof,
FBgn0035049,Matrix metalloproteinase 1,CG4859,Dmel\Mmp1,"MMP-1, dMMP1, l(2)k04809, matrix metalloprotease 1, Dm1-MMP"
FBgn0260456,,CG4806,Dmel\CG4806,
FBgn0050161,,CG30161,Dmel\CG30161,
FBgn0050163,Cuticular protein 60D,CG30163,Dmel\Cpr60D,
FBgn0035043,,CG4781,Dmel\CG4781,
FBgn0035041,,CG13594,Dmel\CG13594,
FBgn0035040,,CG4741,Dmel\CG4741,
FBgn0035036,,CG4707,Dmel\CG4707,
FBgn0035032,"ATP synthase, subunit F",CG4692,Dmel\ATPsynF,
FBgn0069913,,CG4681,Dmel\CG4681,
FBgn0035026,TFIIF-interacting CTD phosphatase,CG12252,Dmel\Fcp1,
FBgn0016687,Nucleosome remodeling factor - 38kD,CG4634,Dmel\Nurf-38,"NURF, NURF38, dNURF, p38, l(2)k16102"
FBgn0035019,Ionotropic receptor 60e,CG13592,Dmel\Ir60e,
FBgn0035016,,CG4612,Dmel\CG4612,
FBgn0017556,"Proteasome α4 subunit, Testis-specific 2",CG4569,Dmel\Prosα4T2,"Pros28.1B, α4t2_dm"
FBgn0015300,Suppressor of Stellate-like,CG13591,Dmel\Ssl,"βCK2tes, CK2βtes"
FBgn0035012,,CG13590,Dmel\CG13590,
