Symbol,Alias
lush,"76a, 76c, 76c(LUSH), CG8807, DmelObp76a, DmelCG8807, Obp76a"
CG15356,"DmelCG15356, EMSY"
CG10713,"CT28585, DmelCG10713"
brat,"CG10719, Cf, DmelCG10719, E60, anon-37CDa, fs(2)ltoPM43, l(2)37Cf, l(2)E60, l(2)brat, lincRNA.S1565"
Pgd,"6-PGD, 6PGD, 6PGDH, A7, CG3724, DmelCG3724, EG:87B1.4, N1, Pdg, l(1)2Dc, l(1)2De, l(1)A7, l(1)G0385, l(1)N1, l(1)N3[90], l(1)Pgd, l(1)Pgd-A, l35"
CG4293,"154711_at, DmelCG4293, EG:65F1.1"
flr,"AIP1, CG10724, DmelCG10724"
barr,"38B.3, Barren, CAP-H, CG10726, CG14684, CapH, DmelCG10726, dCap-H"
CG10730,"38B.7, DmelCG10730"
loj,"CG10733, DmelCG10733, l(3)04026, p24"
pigeon,"CG10739, DmelCG10739, lio, pio"
RpL10,"BcDNA:LD24589, CG17521, DQM, DmelCG17521, L10, Qm, Rp L10, anon-EST:Posey179"
fok,"38B.11, CG10746, CG42849, CG43690, DmelCG43690, Dmel_CG10746, Dmel_CG42849, l(2)k07614, noncoding_3938"
mRpL38,"CG15871, DmelCG15871, MRP-L3, mRpL3a"
CG5514,DmelCG5514
mRpS18B,"38B.17, CG10757, DmelCG10757, MRP-S18-(2)"
CG1077,"DmelCG1077, anon-f"
wit,"1262/15, ALK3/BMPRII, CG10776, DmelCG10776, SE20, STK-D, l(3)64Aa, l(3)S126215, l(3)SH12"
CG10777,"DmRH1, DmelCG10777"
l(2)k09022,"CG10805, DmelCG10805, anon-WO0118547.160"
Ice2,"CG10825, DmelCG10825"
eIF-4B,"CG10837, Dm-eIF4B, DmelCG10837, Eif4B, eIF-4B-L, eIF-4B-S, eIF4B-L, eIF4B-S"
whd,"BEST:GH27794, CG12891, CPT1, CPTI, DmelCG12891, gh27794"
Idgf4,"CG1780, DmIDGF4, DmelCG1780, IDGF, IDGF-4"
Cont,"CG1084, CT1481, D-Axonin, DCONT, DmelCG1084"
CG8155,DmelCG8155
eIF5B,"A1, CG10840, CG14970, DmelCG10840, IF2, anon-WO0118547.362, cIF2, dIF2, yIF2"
hng2,"CG8359, DmelCG8359"
CG42613,"CG14289, CG31149, CG31222, CG5449, CT17110, CT33918, DmelCG42613, Dmel_CG31149, Dmel_CG31222, tld-like"
CG42709,"CG17667, DmelCG42709, Dmel_CG17667, EP(3)3622, EP3622"
Glut1,"0074/12, CG1086, CG13908, CG43946, DmGLUT1, DmelCG43946, Dmel_CG1086, Dmel_CG13908, GLU, Glt1, l(3)61Ea, l(3)L1H, l(3)S007412"
orb,"151666_s_at, CG10868, DmelCG10868, fs(3)00107, oo18"
RpL31,"BcDNA:RE59131, CG1821, DmelCG1821, M(2)45F, Rp L31, anon-EST:Posey68"
p53,"CG10873, CG31325, CG33336, D-p53, DMP53, Dm-P53, DmelCG33336, Dp53, prac"
CG4753,DmelCG4753
CG32036,"CG3426, DmelCG32036"
mip130,"86E4.4, CG3480, DmelCG3480, EG:86E4.4, Mip130/TWIT, TWIT"
vtd,"80Fh, CG17436, CG40222, DRAD21, DmRAD21, DmelCG17436, RAD21, Rad21/Scc1, Scc1, l(3)80Fh, l(3)Lh3, l3, lethal 3"
Tctp,"CG4800, DmelCG4800, dTCTP"
Tom40,"CG12157, DmelCG12157, dtom40, l(1)G0216, mit, ms(1)15, ms15"
CG31460,"BcDNA:RE67710, CG11745, DmelCG31460"
CG8199,DmelCG8199
tou,"CG10897, Dm Tou, DmelCG10897, EP(2)0622, EP0622, EP622, VI, anon-48Ad, gene VI"
PSR,"BEST:LD22859, CG5383, DmelCG5383, L0022859, PS, dPSR"
CG10904,DmelCG10904
Der-1,"CG10908, DmelCG10908"
CG12204,DmelCG12204
Kdm4A,"CG15835, DmelCG15835, dJMJD2(1), dKDM4A"
fj,"CG10917, DmelCG10917"
Fer2LCH,"2LCH, CG1469, DmelCG1469, Fer-H, Fer2LC, FerLCH, LCH, anon-EST:ParkEST264, fer2, l(3)00035, l(3)07016, l(3)j2A3, l(3)neo60, l(3)neo63, l(3)s2083"
GalNAc-T1,"CG8182, DmelCG8182, pgant1"
CG10933,DmelCG10933
Sip1,"CG10939, DmelCG10939, l(2)06373"
CG1603,DmelCG1603
Pdk,"BcDNA:LD09837, CG8808, DmPDK, DmelCG8808"
RpS6,"(Rp)S6, CG10944, DS6, DmelCG10944, M(1)7BC, M(1)7C, Rp S6, S6, air8, air[8], anon-WO02059370.61, hen, l(1)air8, l(1)air[8], l(1)hen, pp30"
Galphas,"CG2835, DGs, DGsalpha, DmelCG2835, G-5alpha, G-alpha-60A, G-salpha 60A, G-salpha60A, GSalpha, G[[S]]alpha, G[[alphas]], G[[s]], G[[s]]-alpha-60A, Gaalpha, Galpha60A, Galpha[[s]], Gs, Gs-alpha, Gs-alpha60A, Gsalpha60A, dG[[alphas]]"
Vang,"CG8075, DmelCG8075, Stb, Stbm, Vang/Stbm, stbm/vang, strabismus/Van Gogh, vangogh/strabismus"
CG10950,DmelCG10950
CG10958,DmelCG10958
RpL39,"BcDNA:RH27094, CG3997, DmelCG3997, L39, RPl46, Rp46, anon-EST:Posey16"
CG6738,DmelCG6738
sni,"CG10964, DmelCG10964, anon-WO03040301.183"
Atg1,"CG10967, DK-4, DmATG1, DmelCG10967, ULK1, UNC 51-like, Unc-51, Unc51, anon-WO0118547.287, dATG1, l(3)00305"
CG9769,"DmelCG9769, Q9VN50, eIF3-S5, eIF3f"
Obp99d,"99d, CG15505, CG155505, DmelObp99d, DmelCG15505, Obp99c"
Cyp6v1,"6v1, CG1829, DmelCG1829"
CG31482,"CG2337, DmelCG31482"
g,"AP-3delta, AP3delta, CG10986, CG11197, DmelCG10986, apl5, delta, l(1)Mc19"
RpS12,"BcDNA:RH29995, CG11271, DmelCG11271, RS12, RpS12E, S12, l(3)s2783"
CG13358,"DmelCG13358, EG:34F3.10"
Pdcd4,"CG10990, DmelCG10990"
sls,"0020/01, CG18242, CG18245, CG18857, CG1915, CT41299, D-Titin, DmelCG1915, KZ, Ket, MCP, TITIN, anon-CREST, kettin, l(3)62Ca, l(3)Ca, l(3)S002001, l(3)dre8, l(3)j1D7, l(3)rL182, sal, sam"
Sap130,"BcDNA:LD21213, CG11006, DmelCG11006, l(3)06924"
CG12091,DmelCG12091
CG17271,"Dm_3R:88623, DmelCG17271"
CG11007,DmelCG11007
MP1,"BEST:GH02921, CG1102, DmelCG1102, SP25, proPO-AE"
CG11029,DmelCG11029
CG11030,DmelCG11030
CG11034,DmelCG11034
CG11035,"DmelCG11035, anon-WO0118547.426"
CG15695,DmelCG15695
Imp,"CG1691, DmelCG1691, IGF-II, IGF2BP1, IMP-1, MRE11, ORE-9, anon-EST:fe2B3, anon-WO0140519.39, dIMP, l(1)G0072"
RpS7,"CG1883, DmelCG1883"
RpL26,"CG6846, DmelCG6846, L26, Rp L26"
lqf,"0110/27, CG8532, DmelCG8532, E(faf)bE25, Epsin, anon-WO0118547.239, dEpsin, l(3)S011027"
CG12861,DmelCG12861
CG15011,DmelCG15011
CG17776,DmelCG17776
CG31626,"BcDNA:RE20756, DmelCG31626"
Vm26Ab,"CG9046, Dm sV23, DmelCG9046, Sv23, TU-4, VM26A.2, Vm26A, fs(2)QJ42, sV26"
jub,"CG11063, DmelCG11063, djub"
CG11068,DmelCG11068
aux,"Auxillin/DNAJC6, CG1107, DmelCG1107, GAK, anon-WO0118547.393, auxilin, dAux"
CG11077,DmelCG11077
rho-4,"CG1697, DmelCG1697, Rho-related [10C6], rho 4, rho4"
RYBP,"CG12190, DmelCG12190, dRYBP"
pyd,"CG11782, CG11962, CG12409, CG31349, CG43140, CG9729, CG9731, CG9763, CT36877, DZO-1, DmelCG43140, Dmel_CG31349, Dmel_CG9731, Pch, Pyd/ZO-1, Tamou, ZO-1, ZO1, pyd(Z01), tam, xvt"
PVRAP,"CG13292, CG32406, CG6062, DmelCG32406"
Tps1,"BcDNA:GH08860, CG4104, CG4104 PA, DmelCG4104, TPS, TreS, dtps1, jf5, l(2)24Ea, l(2)jf4, l(2)jf5, l(2)k08903"
Got2,"152801_at, CG4233, DmelCG4233, Got, Got 2, Got-2"
cv,"CG12410, DmelCG12410, Tsg2, cv-1"
CG12592,"CG12592-PA, DmelCG12592"
CG13397,"172F5T, DmelCG13397, ESTS:172F5T, anon-sts19"
CG15170,DmelCG15170
CG17376,"CG18461, DmelCG17376, bs29c06.y1"
CG31740,"BEST:GH22513, BcDNA:AT23551, DmelCG31740"
lawc,"BcDNA:RH09582, CG32711, DmelCG32711, l(1)7Ea"
CG4363,"BcDNA:LP06375, CT14230, DmelCG4363"
Mes2,"CG11100, DmelCG11100, adfR"
CG11768,DmelCG11768
CG11107,"DmelCG11107, anon-EST:Liang-1.18, clone 1.18"
CG11109,"CT31087, DmelCG11109"
CG11110,DmelCG11110
alpha-Est7,"Ali, CG1112, DmalphaE7, DmelCG1112, EST23, Est-23, H, Mce, aE7, alphaE7, alphaest-7"
CG33090,"BG:DS01068.2, CG15287, CG31837, CG7469, DmelCG33090"
RhoGAP93B,"CG3421, CrGAP, DmelCG3421, Vilse"
ab,"B2149, CG32830, CG43860, CG4807, DmelCG43860, Dmel_CG32830, Dmel_CG4807, clu, l(2)k02807, ptd"
RhoGEF2,"CG9635, DRhoGEF, DRhoGEF2, DmelCG9635, Gef2, RG2, Rho-GEF2, RhoGEF, RhoGF2, Su(Rho1)2B, T2, l(2)04291, shar"
Yp3,"CG11129, DmelCG11129, VG3, VIT3Dm, YP, YP-3, YP[[3]], fs(1)1526, fs(1)A1526"
BoYb,"CG11133, DmelCG11133"
CG17233,"CG6918, DmelCG17233"
Hop,"CG2720, DmelCG2720, EP(2)0418, Sti1, dHop, dSTI1, dmSTI1, l(2)k00616"
CG11145,"BcDNA:AT20622, DmelCG11145"
CG15706,DmelCG15706
CG17283,DmelCG17283
cmet,"CENP-E, CENP-E meta, CENP-META, CENPE, CENPmeta, CG6392, Cenp-M, Cenp_E, DmCmet, DmCmeta, DmelCG6392, KIF 10, KIF10, l(2)04431"
Spn27A,"CG11331, Dm-Spn27A, DmelCG11331, EST1, Spn27, sp27A"
CG12126,"BcDNA:AT16918, DmelCG12126"
Cpr47Eb,"CG13224, DmelCpr47Eb, DmelCG13224"
Ilp7,"CG13317, DILP, DILP-7, DILP7, Dilp 7, DmelCG13317, Ilp, Ilp-7, dILP8"
Ptth,"CG13687, DmelCG13687, phm"
CG14512,"Alg13, DmelCG14512"
CG14566,DmelCG14566
glob2,"CG15180, DmeGb2, DmelCG15180, anon-SAGE:Wang-121"
CG15528,DmelCG15528
CG5199,"CUT8, DmelCG5199"
CG6485,DmelCG6485
CG7715,DmelCG7715
CG8386,DmelCG8386
CG8786,"BcDNA:GM01527, DRNF146, DmelCG8786, RNF146"
Socs16D,"CG8146, DmelCG8146, SOCS, Socs 16D, Socs16E, dmSocs16D"
CG11168,DmelCG11168
SdhA,"CG17246, DmelCG17246, SDH, Scs-fp"
CG30291,"CG3282, DmelCG30291"
Hr78,"CG7199, DHR78, DmelCG7199, Hr78D, NR2D1, XR78E/F"
ppl,"CG7758, DmelCG7758, l(3)00217, l(3)78Cb"
BthD,"CG11177, DmelCG11177, SelH, dSelH, dselM"
CG11178,DmelCG11178
CG14302,"BcDNA:LP02994, DmelCG14302"
CG40045,"BcDNA:RE63412, DmelCG40045"
CG8677,"BEST:LD14959, BEST:LD19244, DmelCG8677, LD14959, dRsf-1"
rin,"CG9412, DmelCG9412, Nts, rasp"
CG13088,"DmelCG13088, FBXO15"
Sp7,"CG3066, DmelCG3066, MP2, PAE, PAE1, anon-Ryu, proPO-AE"
fzy,"BG:DS02740.14, CDC20, CG4274, Cdc20/Fizzy, Cdc20/Fzy, Cdc20[Fzy], Cdc20[fizzy], DmelCG4274, Fizzy, Fzy/Cdc20, dCDC20, dFZY"
CG5550,"AAF57948, AAL48972, DmelCG5550, FBpp0086184"
CG8420,"DmelCG8420, anon-WO0140519.182"
Liprin-alpha,"CG11199, DLiprin, DLiprin-alpha, DmelCG11199, LIP, LIP.1, LIP1, lip-alpha, lpr, oos"
CG11674,DmelCG11674
SP1029,"CG11956, DmelCG11956, ptl, ptls"
CG13614,DmelCG13614
Cul1,"CG1877, Cul-1, Cul1[Ex], Cullin-1, Cullin1, DmelCG1877, Lin-19, Lin19, Q9V312, dCUL1, dCul-1, dmCUL1, l(2)02074, l(2)k01207, lin 19, lin-19/cul-1, lin19-like"
CG7017,DmelCG7017
SmD3,"CG8427, DmelCG8427, SYM10, Sm D3, dD3, guf, guf2, l(2)131/7, l(2)154/1, l(2)90/37, snRNP Sm D3"
ago,"CG15010, DmFbw7, DmelCG15010, FBXW3, SCF[Ago], anon-WO0118547.345, cdc4"
MFS15,"CG15094, DmelCG15094"
mod,"0952/14, CG2050, DmelCG2050, ms(3)100EF"
CG30447,DmelCG30447
CG31108,"CG10057, DmelCG31108"
His4:CG31611,"CG31611, DmelCG31611"
kuk,"CG5175, DmelCG5175, char, kuk/char"
Nup75,"CG5733, DmelCG5733, Nup 75"
Ublcp1,"BcDNA:LD21504, CG6697, DmUBLCP1, DmelCG6697"
CG7841,DmelCG7841
l(2)03659,"A, CG11803, CG8799, Dme_CG8799, DmelCG8799, hspr"
Ir85a,"CG11775, CT32618, DmelIR85a, DmelCG11775"
GluClalpha,"BcDNA:HL07853, CG7535, CT23049, Dm-GluCl, DmGlu, DmGluClalpha, DmelCG7535, DrosGlu-Cl-alpha, DrosGluCl, DrosGluCl-alpha, DrosGluCl-alpha1, GLUCL, GluCla, dGluCl-alpha, glc, glu"
CG8065,DmelCG8065
lark,"CG8597, DmelCG8597, dLARK"
Hsp68,"68, CG5436, DmelCG5436, HSP68_DROME, Hsp-68"
MICAL-like,"AAK93415, CG11259, DmelCG11259"
NDUFS3,"C-I-NDUFS3, CG 12079, CG12079, DmelCG12079, CI-30"
lambdaTry,"CG12350, DmelCG12350, SP76"
CG13000,DmelCG13000
NAA20,"CG14222, DmAAF48987, DmelCG14222, dNAA20"
CG15829,DmelCG15829
Cenp-C,"CG11745, CG11746, CG31258, CLD1, CenpC, DmelCG31258, L1, l(2)SH3 157, l(3)85Aa, l(3)SH157"
CG5402,"DmelCG5402, anon-WO0140519.87"
MtnA,"BcDNA:GH18460, CG9470, DmelCG9470, DrosMtn, MTN, anon-WO0153538.42, anon-WO0153538.44, anon-WO0153538.49"
Int6,"BcDNA.GM01233, BcDNA:GM01233, CG9677, DINT6, DmelCG9677, eIF-3p48/INT-6, eIF3-S6, eIF3-p48/INT6, eIF3e, l(3)10547, l(3)j9E8"
CG6163,DmelCG6163
scrt,"BcDNA:RH71479, CG1130, DmelCG1130, anon-EST:Liang-1.31, anon-EST:Liang-1.67, anon-WO02059370.57, clone 1.31, clone 1.67"
CG13188,DmelCG13188
CG14411,DmelCG14411
CG15117,DmelCG15117
CG33054,"CG10167, CG10517, DmelCG33054"
RnrL,"CG5371, DmRNR1, DmelCG5371, RNR1, RnrM1, RntL, l(2)k06709"
CG7713,"DmelCG7713, dmCG7713"
RpS4,"CG11276, DmelCG11276, Rp S4, SX4, anon-EST:Posey270"
trn,"0024/05, 0641/17, CG11280, CT31487, DmelCG11280, anon-EST:fe2B1"
St3,"CG11293, CG44167, CG5431, DmelCG44167, Dmel_CG11293, Dmel_CG5431, dmST3"
l(2)dtl,"CG11295, Cdt2, DTL83, DmelCG11295, L2DTL"
CG11306,"Alg11, DmelCG11306"
CG11309,DmelCG11309
otu,"CG12743, DROOTUA, DmelCG12743, K, fs(1)231, fs(1)23l, fs(1)M101, fs(1)jA265, fs(1)otu"
mRpS6,"BcDNA:RH10862, CG15016, DmelCG15016, MRP-S6"
SCOT,"BcDNA:RH54340, CG1140, CT1116, DmSCOT, DmelCG1140, cDNA B"
Cdc6,"CG5971, DmCdc6, DmelCG5971"
Tsp97E,"CG6323, Dm.Tsp97E, DmelCG6323, Tspan31"
CG9568,"DmelCG9568, FBgn 32087, anon-WO0140519.183"
CG11321,"AAF52435.2, DmelCG11321"
Zip48C,"CG13189, DmelCG13189, dZip48C"
Ir92a,"CG15685, DmelIR92a, DmelCG15685"
CG17322,"BEST:LD25345, DmelCG17322, LD25345"
Or22b,"22A.2, 22b, AN12, CG4231, DOR22A.2, DOR22b, DOR67, DmelCG4231, Or22A.2, Or67"
CG4945,"CT15864, DmelCG4945, PKN"
slim,"CG5186, DmelCG5186, l(2)s1866"
CG6543,"CG18645, DmelCG6543, Echs1"
CG8834,DmelCG8834
omd,"CG9591, DmelCG9591, IntS5"
AkhR,"BEST:GH19447, CG11325, DAKHR, DAKHR-1, DGRHR, DmelCG11325, GRHR, GRHR/CG11325, GnRHR"
peb,"CG12212, DmelCG12212, EG:66A1.1, EP55, HNT, Hin, Hind, anon-4Cg, hnd"
CG13117,"BcDNA:SD27505, DmelCG13117"
Apc,"APC1, CG1451, D-APC, D-APC1, DAPC, Dm APC1, DmelCG1451, apc 1, dAPC1, AI047805, AU020952, AW124434, CC1, Min, mAPC"
pros,"0244/09, 0320/10, 0441/16, 0451/09, 0563/18, 0585/13, 0664/07, 0671/02, 0763/13, 0989/01, 1135/07, 1135/09, 1167/13, 1316/02, 671/2, BcDNA:HL08040, CG17228, DMPROSPER, DROPROSA, DmelCG17228, PROS-1, PROS-2, Pro, Prosp, Voila, anon-WO0140519.15, l(3)10419, l(3)j12C8, l(3)j6E2, l(3)rH013, l(3)rI160, l(3)rJ806, l(3)rK137, l(3)rK204, l(3)rL433, l(3)rO534"
mthl8,"CG11869, CG13406, CG32475, DmelCG32475, Mth-8, anon-WO0170980.145, anon-WO0170980.146, mthl-8"
CG5225,DmelCG5225
frj,"CG9526, CT26954, DmelCG9526, MBOAT"
CG13893,DmelCG13893
CG14694,DmelCG14694
CG14990,"DmelCG14990, SPH97"
Faa,"CG14993, DmelCG14993, dfaa, l(3)64Al, l(3)SH11"
CG1504,"1504, CT3673, DmelCG1504"
Osi8,"CG15591, DmelCG15591"
CG17287,DmelCG17287
CG17746,"DmelCG17746, PP2C"
CG18031,"DmelCG18031, EG:103B4.2"
Gasz,"BEST:LD05795, CG2183, DmelCG2183"
CG31676,"BcDNA:RH34376, CG14403, CG14404, DmelCG31676"
RpL7A,"CG3314, DmelCG3314, L7A, Rp L7A, Surf-3/rpL7a, Surf3/rpL7a"
CG42361,"CG3579, DmelCG42361, Dmel_CG13588, Dmel_CG3579"
CG3699,"CT12411, DmelCG3699, EG:BACR7A4.14"
RpL35,"BcDNA:RE09547, CG4111, DmelCG4111, Rp L35, RpL35e, anon-EST:Posey157, anon-EST:fe1C12"
Hsc70-3,"A4V4C4_DROME, BiP, CG1579, CG4147, DmelCG4147, GRP78, HSC-70, HSC3, HSC70, HSP7C_DROME, Hsc-3, Hsc-70-3, Hsc3p, Hsp-c3, anon-WO0138581.7, dBiP, dhsc70, dmHsc72, hsc72, l(1)G0102, l(1)G0111, l(1)G0292, l(1)G0341, l(1)G0407, l(1)G0466"
trk,"CG5619, DmelCG5619, fs(2)trunk"
pit,"CG6375, DmRH15, DmelCG6375, Hel93F"
CG7992,DmelCG7992
Cyp6g2,"6g2, CG8859, DmelCG8859"
Task7,"CG9361, DmelCG9361, K2P-TASK7, dTASK-7"
Nhe3,"CG11328, DmNHE3, DmelCG11328"
CG11334,DmelCG11334
gish,"CG6963, CK1, CK1-gamma, CK1[[gamma]], CK1gamma, CKI-related, CKIgamma, DmelCG6963, Hrr25, NEST:bs27c08, Spider, anon-WO0118547.425, ms(3)89B"
CG13471,DmelCG13471
CG13749,DmelCG13749
dgt1,"CG18041, DmelCG18041, NSL2"
fd59A,"CG3668, DmelCG3668, Dmfd3, FD3, foxd"
colt,"CG3057, DmelCG3057"
jim,"BcDNA:SD14927, CG11352, DmelCG11352, OVK, ovfc.K"
CG7470,DmelCG7470
dbr,"BcDNA:LD26519, CG11371, Debra, DmelCG11371, EP0456, EP456"
CG31365,"CG4639, DmelCG31365"
scramb2,"CG1893, DmelCG1893"
CG13046,DmelCG13046
CG14655,DmelCG14655
CG3800,"BEST:GM06241, CG11716, DmelCG3800, anon-EST:fe1B4, anon-EST:fe2B6"
B-H1,"BH1, Bar, Bar H1, Bar-H1, BarHI, Barh1, CG5529, DmelCG5529"
aub,"CG6137, DmelCG6137, ms(2)32D, sti, sting"
Hydr1,"CG8058, Dm.HYDR1, DmelCG8058"
Papss,"CG8363, DmPAPSS, DmelCG8363, PAPS, l(3)76BDn"
CG9149,DmelCG9149
TRAM,"CG11642, CG18830, DmelCG11642, EG:BACR7A4.5"
CG31619,"CG13236, CG2122, CG2131, CT6940, DmelCG31619"
CG11391,DmelCG11391
glu,"BcDNA.LD20207, BcDNA:LD20207, CG11397, DmSMC4, DmSMC4/gluon, DmelCG11397, Gluon, SMC4, anon-WO0118547.156, dSMC4, l(2)k08819"
CG13045,DmelCG13045
uri,"CG11416, DmelCG11416, dURI, ori"
png,"CG11420, DmelCG11420, EG:8D8.5, fs(1)M2, pan-gnu"
Dp1,"BcDNA:LD21383, BcDNA:LD21677, CG5170, DDP1, DmelCG5170, anon-WO0118547.516, anon-WO0172774.168"
crc,"929, ATF-4, ATF4, ATF4/crc, CG8669, DmelCG8669, Ire1, dATF-4, l(2)crc"
mmy,"BcDNA:LD24639, CG9535, DmelCG9535, LD44264, anon-WO0140519.242, cao, cys, cyst, cystic, l(2)k13717b, mum"
olf186-F,"BcDNA:LD03241, CG11430, CRACM1, DmelCG11430, Orai, SPH206, dOrai, dOrai1, l(2)k11505"
CG11436,DmelCG11436
Ndc1,"CG5857, DmelCG5857"
snRNP-U1-70K,"70K, CG8749, Dm70K, DmelCG8749, U1, U1 70K, U1 70K snRNP, U1 snRNP, U1-70K, U170K, U1snRNP-70K, dU1-70K, l(2)02107, snRNP, snRNP27D, snRNP70K"
fu2,"CG9233, DmelCG9233, FU12"
san,"CG12352, DmAAF34715, DmelCG12352, atado, span"
bys,"CG1430, DmelCG1430"
CG14325,DmelCG14325
CG15382,"BcDNA:RE26473, DmelCG15382"
CG6565,DmelCG6565
CG9752,DmelCG9752
Mlh1,"CG11482, DmelCG11482, dmlh-1, dmlh1"
CG30503,"BcDNA:RH50933, CG1672, DmelCG30503"
Unc-76,"BcDNA:GH10260, CG18851, CG3981, DmelCG3981, Dunc-76, EG:67A9.1, l(1)G0066, l(1)G0158, l(1)G0310, l(1)G0333, l(1)G0360"
CG7600,DmelCG7600
CG14275,"BcDNA:RE73208, CT33900, DmelCG14275"
CG2277,DmelCG2277
CG2807,"DmelCG2807, SF3B, anon-21Cd"
CG31637,"CG13765, CG9551, DmelCG31637, anon-WO0118547.107"
mnd,"CG3297, DmelCG3297, SG29, l(3)B5, l(3)SG29, l(3)ds-5, l(3)ds5, l(3)o52, md"
CG6923,DmelCG6923
lig,"CG8715, DmelCG8715"
Diedel,"BcDNA:RH38110, CG11501, DmelCG11501"
CG11504,DmelCG11504
mge,"BcDNA:LP07226, CG14981, DmelCG14981, l(3)63Fc, l(3)SH3"
psd,"BcDNA:GM32356, CG9050, DmelCG9050, Fcp26Aa, TU-1"
Gld,"CG1152, DmelCG1152, GDH, Go, glucose dehydrogenase, l(3)84Cg"
RpL6,"CG11522, DmelCG11522, Rp L6"
CG7202,DmelCG7202
bif,"CG1822, DmelCG1822"
Asator,"CG11533, CK I, CKI-like, DmelCG11533"
Pglym78,"CG1721, DmelCG1721, PGAM, PGLYM"
CG3552,DmelCG3552
CG1620,"146745_at, DmelCG1620"
Calx,"9C5, CALX1.1, CG5685, Dmel/Ncx, DmelCG5685, NCX, anon-93ABa"
CG14277,DmelCG14277
CG14767,"CG8575, DmelCG14767, dmCG14767"
inaE,"CG11096, CG11102, CG11104, CG15761, CG32630, CG33174, DmelCG33174, EP(X)1101"
loco,"CG17229, CG5248, DmelCG5248, dLoco"
dmt,"0481/03, CG8374, DmelCG8374, anon-WO0118547.317, s048103"
CG9536,DmelCG9536
Cpr,"CCR, CG11567, DMR, DmCPR, DmelCG11567, NCPR, P450"
Osi15,"CG1157, DmelCG1157"
Prosalpha4T1,"CG17268, DmelCG17268, Pros28.1A, Pros28.2, a4-t1, alpha4T1, alpha4t1_dm, dalpha7"
Apc2,"APC, CG6193, D-APC2, Dm APC2, DmelCG6193, E-APC, E-APC dAPC2, dAPC2, dAPC2/E-APC"
CG13564,"DmelCG13564, Minos1c"
CG4702,DmelCG4702
CG8083,"BEST:CK00459, CK00459, DmelCG8083"
CG11586,DmelCG11586
IM10,"CG18279, DIM 10, DIM 12, DIM 13, DIM 24, DIM-10, DIM-12, DIM-13, DIM-24, DIM10, DIM12, DIM13, DmelCG18279"
Rap2l,"CG3204, Dm Rap21, DmelCG3204, O96692, Rap2, Rap21"
Sirt6,"CG6284, D.mel4, DmelCG6284, dSIRT6, dmSRT408"
Kap-alpha3,"0335/13, CG9423, Dalpha3, DmelCG9423, IMPalpha3, Imp alpha-3, Imp-alpha3, Kap alpha3, Kap-?3, Kapalpha3, Kpna3, alphaKap3, dKap-alpha3, dimpalpha3, imp alpha3, imp-a3, l(3)S033513"
CG11590,"BcDNA:GM24986, DmelCG11590"
Rab1,"AAF55873, CG3320, DRAB1, Dm Rab1, DmRab1, DmelCG3320, O18332, RAB1a, dar6"
ocm,"CG3363, DmelCG3363, Mga, Mod(GMroX1)A"
Teh4,"CG15003, DmelCG15003, anon-WO0172774.111"
Ts,"CG3181, DmelCG3181, FBgn0024920, anon-23Ca, c1.5"
scramb1,"CG32056, CG6590, CT20492, DmelCG32056"
CG4000,DmelCG4000
nkd,"CG11614, CG18224, DmelCG11614, naked"
CG6793,DmelCG6793
alphaTry,"CG18444, DmAlphaTry, DmelCG18444, SP102, Try, alpha"
RpL27,"CG4759, DmelCG4759, RpL27e, chr3R:21510055..21510241"
Hsf,"CG5748, D-HSF, Dm-Hsf, DmHSF, DmHSFa, DmelCG5748, HSF1, HSFa, dHSF, dHSFa, l(2)03091"
dbo,"CG6224, DIABLO, Dm.DBO, DmelCG6224, Smac"
gkt,"CG8825, CG8826, DmelCG8825, TDP1, anon-23Db, c22"
Det,"CG12265, DmelCG12265, scpo"
CG12241,DmelCG12241
CG12868,"CT32008, DmelCG12868"
l(2)35Df,"BG:DS09217.2, BcDNA:GH07290, CG4152, DmelCG4152, Mtr4, br44, l(2)br44, l(2)k14422, l(2)k14423, l.2.35Df, lethal(2)35Df"
Pink1,"BEST:GH23468, CG4523, DmelCG4523, PINK, dPINK1"
CG6845,"BEST:LD22345, DmelCG6845"
CG8866,"DmelCG8866, UNC 51-like, dULK3"
CG11658,"DmelCG11658, FBXO12, anon-WO0118547.413"
esc,"CG14941, DmelCG14941, L41867, dESC, sc"
mRNA-cap,"CG1810, DmelCG1810, PIR"
Bem46,"CG18642, DmelCG18642, c1.6"
CG18812,"CG12040, CG18813, DmelCG18812"
CG32230,"BEST:GH04411, BcDNA:RE56733, DmelCG32230"
RpS17,"BcDNA:RE44119, CG3922, D9, DmelCG3922, M, M(3)67, M(3)67C, M(3)RpS17, M(3)S33, M(3)i, M(3)i(55), M(3)i[55], M(3)q, M(3L)i, M(3L)i[55], Minute, RS17_DROME, Rp S17, anon-EST:Posey48, l(3)67BDo, l(3)dtOA4"
N,"1.1, 16-178, 16-55, Ax, CG3936, CT13012, Chp, Co, DmelCG3936, EG:140G11.1, EG:163A10.2, NECD, NICD, RICN, anon-EST:Liang-1.12, clone 1.12, dNotch, fa, l(1)3Cb, l(1)Ax, l(1)N, n[fah], nd, notch, shd, spl, swb"
srp,"A7.1, ABF, CG3992, DmGATAb, DmelCG3992, GATA, GATAb, dGATAb, l(3)01549, l(3)89B2, l(3)neo45, spt, srpD"
